Response ID,12172441: What are some of the things that you enjoy about our course so far?,"12172443: At this point in the semester, what concerns you the most about taking this course, if any? If you do not have any, you can write ""none"" or ""NA"". To receive full credit for this activity, you will need to write something below.","12172445: Anything you would like me to know about before we start our course regarding your individual needs, or impressions of the course so far? If there is nothing, please write NA or something similar, because to receive full credit for this activity, you will need to write something below."
495,"I enjoy the topics. Calculus is my favorite subject, so I enjoy learning more about it.","Time management is my biggest concern, as well as stress. I'm hoping that I'm able to grasp the concepts in a timely manner, since geometric interpretation and thinking in 3 dimensions wasn't my strongest suit in previous years. I also hope I don't become overwhelmed with work and studying for this class.",NA
496,I enjoyed getting my Morley award. ,NA. ,"I think that the course is very challenging, but prepares us very well for college. "
497,ONline and at my own pace,none,na
498,I have enjoyed that the course is completely laid out and there are several resources for me to learn from. The most beneficial thing is seeing every due date on the canvas calender so I don't miss anything.,Getting a good grade and the Exams concern me the most. This is mostly because of the weighting and that I have minimal time to study because of High Schoool Soccer season. ,"I have enjoyed the course and getting used to a college class's structure, schedule, and responsibility even though I have struggled with the content."
499,"Nothing, it hasn't really started yet.",NA,NA
500,It’s fun to draw the 3D shapes.,NA,NA
501,The online lectures,NA,NA
502,"The lecture videos almost over-explain the topics, so it is easy to follow along and understand. 

I enjoy not seeing the entire course at once so it is not so overwhelming. 

I enjoy the studio sessions.",Having to complete webwork again if I want extra credit. Last semester I felt webwork was the most difficult part of the class even though I understand it was optional. ,N/A
503,Monday and Wednesday studio sessions,None,NA
504,The videos are very descriptive and good at explaining things. The MyMathLab is good at providing practice for the material.,I think taking the tests and exams will be hard for me. This is because I have always struggled with the true and false.,NA
505,"I enjoy that the course is formatted very similarly to Linear Algebra, it'll definitely make adjusting to this course easier with similar assignments and deadlines.",none,none
506,"Some things I enjoyed about the course so far is the flexibility in my schedule to do the work when it is most convenient for me, and the abundance of resources in the form of the textbook, videos, and other resources.",One concern I have about this course is my ability to fully learn and comprehend all the material through an online format. This is my first online class and adjusting to this online class was difficult for me the first semester.,NA
507,The flexibility the course provides ,Continuing my work ethink for another semester ,NA
508,Free schedule. ,none,NA
509,"I like that the course is not restricted to one day's work and that I can have a flexible schedule. Also, I find the topics of this course far more relatable and easier compared to previous math courses' first units.",NA,NA
510,"Everything is on MML, that's a good thing.

Seeing the slides directly on the module videos allows me to follow along.",I'm concerned about falling behind if I get sick.,NA
511,I enjoy the overall organization and scheduling which aids in time management and allows me to keep up with the pace. This gives me enough time to properly learn the material.,NA,NA
512,It's very accessible and the platform is easy to use.,The thing that most concerns me is the exam dates and shaping various extracurriculars around them.,NA
513,"I like the independence the class offers. The instructors put their expectations upfront, and it streamlines the class and puts responsibility on us.",none,none
514,I enjoy how organized it is and how easy it is to understand the weekly things needed for the course.,none,NA
515,I like the pace of the lessons and the concepts are taught in a straight forward manner.,None,"Any amount of extra resources, practice problems, links to helpful youtube videos, etc.. would be super helpful"
516,I like how it is organized clearly si that I am able to see where every assignment is and when it is due.,NA,NA
517,"Accessibility of lecture slides, quality lectures.",N/A,N/A
518,I enjoy learning math.,n/a,n/a
519,I enjoy the quality of the lectures and the difficulty of the content.,none,none
520,"MML and textbook are integrated, which was a key thing for me last semester.",NA,Course load seems to be a lot lighter compared to last semester.
521,I enjoy that we have access to the slides and use MML,Remembering formulas,"I have a concentration disorder that makes it difficult for me to learn, however I'm unable to set up a 504 plan."
522,I don't think I would say I am enjoying much. I love in person math classes because of the relationship I build up with my teacher by having conversations with them.,I worry about studying correctly and properly preparing for tests. I also need to make sure I work ahead on these problems. ,NA
523,"I liked that everything is easily accessible, although the class is not in person the information is still readily available.",Multivariable calculus is hard,NA
524,I enjoy the my math labs from linear algebra. I felt that they were very helpful and were a great practice opportunity. I also really liked that the syllabus was so clear and had all the dates for us to plan. I also liked using the sample tests as practice. ,"I am a little concerned on the topic itself. I know that calculus has a lot of visualization and conceptualization, which isn't my strongest suit.","So far, I really liked linear algebra! The syllabi in both courses seem extremely helpful!"
525,The organization of syllabus and easy to follow structure of the course.,none,I will be going to India for 2 weeks this month from January 19th-February 6th. I will be doing my assignments for those two weeks before hand and plan to take exam 1 on time. Just thought you should know in case any emergencies arise :)
526,I enjoy the open discussion forum to ask any questions!,NA,NA
527,It's easy to access and asynchoronous.,I'm concerned about being able to fully grasp the content.,NA
528,I enjoy the independence of learning things at my own pace.,none,none
529,We're being given a revision of the basics and the usage of visuals like graphs gives a deeper understanding of 3D,NA,NA
530,The format,NA,NA
531,#NAME?,NA,NA
532,"I enjoy the flexibility of pacing and the breadth of media available (videos, lectures, books, message forums, etc.).",none,N/A
533,I really like the grading format,NA,NA
534,"Videos with clear explanations, TA sessions, Discord + Piazza community",None. ,NA
535,I enjoy the variety of options provided for students to practice and prepare for assessments. I specifically enjoy watching the lecture videos and taking the practice exams provided for students. ,none,none
536,I enjoy the calculus and that the assignment are neatly listed on the calendar.,NA,NA
537,"I like how the content is formatted with all the notes much more easily accessible. I also like the content itself more, I tend to like calc more than algebra, so that's nice. I also am enjoying starting fresh with a new thing so i can plan and use what I learned near the end of the last semester to be better prepared for this one.","I am a bit nervous for the larger concepts, I hope I can fully understand them.",I have nothing you need to know.
538,I love the plethora of resources provided and the encouragement of communication between students in the course. ,NA,NA
539,"I love our professor! Last semester, he taught us very well with all his lectures and homework material. I like how organized our course is. ",none,"I am excited to begin this course! I hope to learn more about multivariable calculus, and gain good study habits to be successful. "
540,I like the format--having recorded lectures and the textbook for additional support. I also enjoy the content and think it is interesting to revisit topics in depth after we skimmed over them at GHP.,Nothing concerns me currently.,"Nope, I am just grateful for the opportunity to be learning all of this in high school and think the content is interesting."
541,I enjoy how the course is structured very nicely with each of the modules clearly labelled. This helps me identify what to learn and study.,NA,NA
542,It seems to be well structured.,NA,NA
543,I liked the fact that the recorded lectures are available and in small snippets with titles; it makes it easier to review specific concepts. The MMLs are typically fun to complete with their gamification of math.  The amount of exam review is extremely helpful.,"I took calculus half a year ago at this point, and I am worried I have forgotten most of the rules about Integration. Re-learning calculus at the same time as we expand it to 3 dimensions may make this course significantly more difficult.",I generally like the course so far and it fits my intellectual needs well. I think the course is one of the better-run courses I have ever been enrolled in as the profs know the subject well and ask only that we learn relevant information.
544,I like how the videos are in the same format as Linear Algebra and how we use MMLs as well. ,Time management throughout this course.,NA
545,"Not much to say, it seems to be very similar to the structure of Linear Algebra, so there isn't much to say. Perhaps when more of the course is opened up, I'll have more of an opinion. But I liked the structure of the previous course, so hopefully things stay similar.",N/A,N/A
546,Being remote allows for flexible and convenient learning. ,None,None
547,"I love the punctuality, detail-orientedness, and communication-level in the content, course organization, deadlines, and course resources.",NA,NA
548,I like having the practice exams and the solutions as practice. ,none,none
549,The course material is very engaging!,NA,NA
550,"The webwork extra credit, the in-person tests on paper, and the weekly practice quizzes.",NA,NA
551,It starts off easy and becomes difficult.,NA,NA
552,I like that there are extra credit opportunities to improve our grade with the Webwork and CIOS survey. I also enjoy having Piazza as a resource to ask questions to other students and instructors.,I do not currently have any concerns and hope to be able to alleviate concerns that do come up through Piazza. ,NA
553,The short lecture format allows us to take on topics in small sessions—very flexible.,"Well I'm not too worried, but I've been told that this course is much less conceptual and much more algebra/calculus intensive compared with linear algebra...",q
554,,,
555,"Looking through the course objectives and syllabus, I think the content of this course will be very interesting to me. I am particularly interested in learning how to calculate and interpret derivatives and integrals of multivariable functions.",NA,NA
556,,,
557,I enjoyed the freedom of working at my own pace. There were plenty of resources to utilize if I needed help.,I am just hoping I haven't forgotten anything from calculus that will be important in this course.,N/A
558,,,
559,I enjoy how structured the course is and the clear expectations that are communicated. ,"I got a B last semester, so my main concern is fixing my strategies to perform well this semester. ",NA
560,"Clear, well-explained, and concise lecture videos.",none,none
561,The flexibility and freedom to do the work at what time I want.,NA,NA
562,The videos are fun and the problems are challenging but engaging.,NA,NA
563,I enjoy getting to learn math past what my school offers. TA seems very familiar with content.,Staying motivated through the end of senior year.,NA
564,,,
565,"I enjoy the challenging college-level math and the flexibility of the online format. It's exciting to experience university-style learning and interact with a diverse group of students. This course is a great introduction to advanced studies, especially in STEM.",none,NA
566,I appreciate the timing of the course as it lets me go through my own pace.,NA,NA
567,I like the timings between assignments,none,none
568,I like how a lot of the course material is posted early so that I can move at my own pace.,none,none
569,"I feel like there are good resources available for me to be able to use, like the studios, textbooks, lectures, that honestly would not be there in an in-person class. I haven't had a class (other than lin alg) with this many resources available. Also I like the Piazza, and that was very, very helpful last semester and it will be this semester too.",I'm just scared I'll end with a B but I will do my best to get to an A this time. ,"It seems well-organized to me, like lin alg. "
570,I am excited to learn Multivariable Calculus! I like that many provided videos will allow students to fully understand the information.,"I am slightly concerned about taking this course online; however, I know that I can reach my full potential by following all the steps to succeed. ",N/A
571,I enjoy the easy navigation on canvas and the high quality lectures that are provided.,none,none
572,"From the videos I have watched so far, I like how the course is structured and explicitly lays out what textbook chapters go with what week/module.",Time management,NA
573,I enjoy the lectures and how the examples have been explained.,none,none
574,I enjoy taking notes.,NA,Who is the weird lady in the lecture videos.
575,Detailed instruction.,None,NA
576,The organization of the course is similar to the last one. The course is also building my calculus skills.,NA,NA
577,I like how we are learning about vectors because that is relevant in some of my classes that I am also taking.,NA,NA
578,"Clear instructions, nice module layout ",None,NA
579,"There are lots of resources for learning course content: lectures, live review sessions, the textbook, WebWork, etc.",I am concerned about my pace. I hope to be a week ahead by spring break.,None
580,1. it is very organized. ,none,NA
581,The course is very interesting and challenging.,na,NA
582,The workload is not too bad and it is not very stressful.,none,NA
583,"I think the MMLs are really helpful, since the repetition helps me to remember concepts. I also like that there is a lot of extra practice.","Last semester, the workload was a lot sometimes, so I hope that I will be able to keep up better this semester.",Nothing :)
584,freedom of the course,na,na
585,I like the videos. They are really helpful and instructional. I also like how the modules are split up to do per week. It makes it more organized and easier for me to know what pace I should be going.,NA,NA
586,"I love the accessibility to resources such as the reading lists, Pearson, Studios, and Piazza. This sets me up for success as when I struggle I have places to go.","Currently, I am most worried about not being able to fully understand the content. I see overlap of concepts from Calc 1/2 such as optimization but I had a phenomenal teacher that was in person and that environment was one that I worked very well in. The class being online slightly worries me.",N/A
587,I haven't started the course.,NA,NA
588,You can complete assignments/lectures at any time. You can go back and rewatch lectures as needed.,N/A,N/A
589,One of the things I’ve enjoyed about this course so far is its engaging content. I’ve found the material both relevant and informative and i’ve been impressed by the environment created by both instructor and peers. I really like the clear expectations set at the beginning of the semester. ,N/A,N/A
590,"I enjoyed doing Linear Algebra so far in the distance math program. It was an interesting course because I have not learned math as abstractly as I did in linear algebra. I like the variety of ways we have learning to do, such as written assignments, MMLs, module tests, lecture videos, etc. These ways make the course less repetitive and more engaging. ",My only concern is hoping to pace myself and not get behind on work since it's online.,NA
591,"I enjoyed the MML sets and the study plans in the textbook, because they provided many various types of questions while offering step-to-step examples.",I have the most trouble on True/False and Possible/Impossible type questions.,NA
592,"Personally, I enjoy being able to learn about higher math from a technical aspect but also knowing its applications in the real world. Our textbook last semester was phenomenal in that it showed real world applications of linear algebra such as row reductions and markov chains.","At this point the only thing that concerns me is whether to choose to watch the modules or read the textbook for a particular unit. Often times, I've found that doing one or the other can typically help more.",NA
593,"I enjoy that the course is mostly self-paced, so I can adapt my learning with my schedule.",N/A,N/A
594,Nothing is really posted so I don't know.,The difficulty ,None
595,Its applications to physics and succinct videos.,NA,NA
596,The course is well-organized. Study resources are readily available and plentiful.,None,NA
597,"So far, I have enjoyed how this course has been largely self-paced, so I can do the assignments and module tests at my own pace. I also enjoyed how there were no required virtual sessions to attend, since it provided further flexibility for my schedule. Furthermore, I also liked how each week, there were a set number of videos for each course that I could watch.",N/A,N/A
598,"The course structure 

Navigation 

Being able to study (cry) with my friends 

Overal enjoyment of the course ",NA,NA
599,I like how organized it is. I always know what is coming up and feel very supported. I also love that I can work ahead if I know I have a busy week coming up. The practice questions and exams are very useful and have greatly aided in my understanding. ,None,None
600,The lectures are very in-depth and the provided problem sets are useful for practice. ,NA. No concerns yet. ,NA
601,Piazza,not having enough additional resources,NA
602,"Last semester, I enjoyed how many practice problems were available. ",NA,NA
603,"Some of the things I enjoyed while taking this course include its self-paced feel. Doing the course and going through the modules on my own allows me to explore the beauty of linear algebra in my own time. Going through slideshows and the textbook helps me learn the course better rather than in a normal class setting. Another thing I enjoy is the Piazza, which allows me to engage with other students to ask practically any relevant question to get an answer, with the teachers and students being very supportive. ","I have no concerns, I am excited to take this course!","I have no concerns, I am excited to take this course!"
604,I enjoy how clearly all the material is laid out.,NA,NA
605,"I enjoy the ability to have self-paced content and learn on our own schedule. I also like the variety of learning resources: Piazza, WebWork, lectures, and the textbook.",I'm not sure how much Calc BC I still remember after doing Linear Algebra last semester. It may take me some effort to remember calculus concepts.,I enjoy the course and I think that it has the right balance of challenging and interesting while not overwhelming.
606,I enjoy the nice refresher on the content I learned in the last semester that is relevant to the course content this semester.,None,None
607,I enjoy the semi-self-paced nature of the course and how we have many resources available to us.,N/A,N/A
608,I enjoy how the loose structure of this course allows me to go at my own pace and be more proactive about my learning.,NA,NA
609,The simplicity. ,none,NA
610,"Linear algebra has been a fun and challenging course to take and was vastly different from any math course I have taken in high school. The depth that the course goes into, exploring abstract concepts such as vector spaces, linear transformations, and eigenvalues, has truly expanded my mathematical horizons. One aspect I particularly enjoy is the practical applications of linear algebra in various fields, from computer science and physics to machine learning and data analysis. The ability to apply theoretical knowledge to solve real-world problems has made the subject matter more engaging and relevant.

Additionally, the emphasis on matrix operations and their role in solving systems of linear equations has provided me with a powerful toolkit for problem-solving. Manipulating matrices to represent and solve complex problems has been both intellectually stimulating and rewarding. The course has also introduced me to the elegance of mathematical proofs, helping me appreciate the beauty and logic behind the theorems we encounter.","In high school calculus, we only worked with minimal variables which made graphs easy to visualize. However, the only worry I have with the class is the ability to visualize the multivariable functions, as well as extend the ideas of differentiation and integration to multiple dimensions.","I must admit, linear algebra has been quite a journey for me. The abstract concepts and the depth of the material made it challenging, but I embraced the struggle and managed to grasp most of it. Now, as we delve into multivariable calculus, I can't help but feel a bit anxious. However, I hope to learn the most out of your teachings and look forward to the class."
611,,,
612,I enjoy the format of the course and all the resources provided. I also like the lecture videos and slides.,NA,NA
613,I enjoy how every assignment is laid out for the entire assignment which keeps me organized.,N/A,NA
614,The videos,None,None
615,Having friends to study math with and studying with them is fun. ,None,N/A
616,"I like how organized and straightforward all the assignments, dates, and rules are. Anytime I have a question or an uncertainty I know that I will always be able to find the answer in the syllabus or find someone I can contact.",NA,NA
617,Lecture videos are helpful in preparing and learning the course material.,NA,NA
618,The continued use of matrices :),"I'm still trying to see the TEAMS channel, but other than that, maybe that I need to refresh some of the Calculus skills and angle identities...",NA
619,"The course syllabus was available early, so I could prepare myself for the upcoming modules. I also love the format of the course in that you can kind of go at your own pace while also having deadlines that keep you on track.",NA,NA
620,,,
621,I like that I’m taking the course alongside other students my age. This helps in situations where I’m confused about certain problems/topics as I’m able to reach out to a couple friends to gain a better understanding of the subject. ,"I’m a little concerned about peer help with this class as I’m the only person taking this course from my school. Still, I think I’ll be able to utilize piazza to help with this issue :)",Just that I’m the only person taking this at my school :) I’m still confident in my ability to self-navigate through courses though and pace myself :)
622,"The course structure seems well-organized, with clear learning objectives and a logical progression through the topics. I like that we have unlimited attempts on the HW and tests.",NA,NA
623,the mmls are very helpful and so are the videos ,losing focus and not doing work,NA
624,"1. Like Distant Year One, this class is asynchronous and is very flexible with my daily schedule.

2. I also like how the textbook for this year is more organized and each topic has quizzes and tests attached to it.

3. I appreciate the availability of the WebWork extra credit since it's an incentive to get more practice in.

4. Currently, its review and I like how we are easing in with the content rather than jumping ""into the deep end"".","I don't have major concerns, but just wanting to understand the content and do good on the tests.",NA - Hope everything goes well.
625,"This course has allowed me to grow into a new student and learn how to hold myself accountable.  It has allowed me personal growth.  As far as the coursework, I really like the communication that I have received as a student, and the MML sets. ",N/A,NA
626,,NA,
627,I really enjoyed the lecture videos that are available to watch in the modules tab. These provide a really good overview of what we are learning and I generally find that I don't need to review any more course material to gain an understanding of what we are learning.,I am a little concerned with the aspect of doing math in three dimensions as I do not have experience with this.,I have really enjoyed the course so far and I look forward to learning Multivariable.
628,"So far, the videos have provided a nice recap of Precalculus and AP Calculus while integrating some aspects of Linear Algebra. It's also interesting to see how the use of linear algebra can provide easier definitions of calculus concepts.","Last semester, I didn't do as well as I expected on the final exam so, this semester, I will be focusing on doing really good on the final this time. ",NA
629,The videos rather than the textbook have been incredibly helpful. They are undoubtedly my favorite part of the course.,NA,NA
630,I enjoyed the recitations and the fact that you were assigned MMLs that prepared you for the exams and the module tests. ,NA,NA
631,I like the structure of the videos. I also like how organized everything is.,None,NA
632,All the class information is very clear and easy to find. I also know I have many resources and places to ask questions if needed.,The workload.,NA
633,I like the asynchronous delivery method of this course. ,NA,NA
634,i like the studio sessions,accessibility to instructors and ta's,NA
635,"I liked the videos with the new instructor, I liked that the layout of the course is what I got familiar to with the linear algebra course, and also that the weights of the grading are very similar to last semester as well.",I'm a little nervous because I'm not sure if I remember everything from my Calculus BC class from last year. So I might need to do some individual review to make sure I am ready for the new content that builds off of what I learned last year.,I would like to know about the connection between this class to my last calculus class and what are the most important topics to review that we will build off of the most.
636,I enjoyed how we could watch the lectures at any time and also the privilege to work online.,None,None
637,I like the well explained and detailed videos.,None,NA
638,The lecture videos are split up nicely and are easy to follow.,Lack of discussion of the material in person because there is no one else taking this class at my school. ,Nothing
639,I enjoy that linear algebra was a challenging course as it made me think hard sometimes.,I am concerned about the BC calculus knowledge I am required to know as it has been almost a year since I have last touched up on Calculus.,NA
640,I can follow it on my own time and at my own pace.,none,i love gt math
641,I like the structure of the course and the easy access to resources.,"I feel pretty good about taking this course. I am a little concerned with the pace, but I plan to stay on top of my notes.",NA
642,I enjoy the new voice in the lecture videos.,NA,NA
643,It is engaging and makes me remember things I learned in the past.,Remembering calculus.,NA
644,Learning applications to real world scenarios such leontief input output model. ,None,NA
645,I liked that the course material was detailed and easy to understand. The instructors went into sufficient detail to explain any confusing or new concepts.,NA,NA
646,I enjoy the math. ,NA,NA
647,I like how it is somewhat flexible and within each week I can go at my own pace. ,NA,NA
648,"The ta's, and the attention to the students",NA,NA
649,I enjoy the lecture videos and how easy it is to access different course materials. There are also plenty of resources available for us to do well. ,none,NA
650,I really like the autonomy of the course and how I can really control my schedule and go at my own pace. ,none,I am the only person at my school doing this but at this point I have got the hang of it
651,"Excellent staff and professors, easy to follow",None,NA
652,I enjoy the online component as well as how it is organized. ,What concerns me most is I won't understand the concepts well enough.,I currently have no individual needs or impressions of the course. 
653,I enjoy the access to the textbook since some people learn better through text rather than video. I also enjoy that there are sessions you can attend to ask questions and practice.,I am concerned about triple integrals that use Greek letters for the variables. I know it is a long way away but I am afraid to learn it.,It is important to note that I participate in spring sports as well as maintain a job. The course is great so far and I am excited to learn more!
654,I enjoy piazza because the collaboration between students is very quick and helpful. I also enjoy the organization of the course.,NA,NA
655,The asynchronous nature of it. ,NA,NA
656,I enjoy the independence in the course as well as the ability to be able retake many of the assignments.,"Comprehension of the videos and the textbooks is my most concern- so, basically the content of the course.",NA
657,I have not started the course,NA,NA
658,The lecture videos and the access to Piazza for student help.,None,NA
659,The lectures are easy to access,none,na
660,I like how the canvas is gold like Georgia tech so cool wow,No concerns,No
661,I like how organized the canvas page is. I also enjoy the amount of resources provided. ,NA,NA
662,I like the setup of the class and how easy it is to find resources. ,NA,NA
663,"Lecture videos are really well done and materials is explained thoroughly. MML homework sets are helpful, and I believe they are an appropriate amount of homework. ",N/A,N/A
664,the structure of the lectures and other course content.,none,none
665,"A fresh new voice for the lecture videos is refreshing. The previous course was not bad, it was great, but having a new voice is different.",NA,NA
666,The lessons are fast and concise.,NA,"I think all the module should be available, as some students may be busy during certain weeks and need to study in advance in order to not fall behind."
667,I enjoy the simplicity of the lectures given by Dr. Mayer and the usefulness of the practice exams and similar resources. ,N/A,N/A
668,The videos are easy to understand,its going to get more difficult but no real concerns so far,for the difficult concepts plenty of alternative opportunities to work like the extra credit
669,"I liked how it was independent and self-paced. This let me work on other classes when they get busy, but focus on this class when it gets busy.",I have serious concerns about senioritis.,n/a
670,I love the online environment where I can work on my own time without sticking to a rigid schedule.,NA,NA
671,Being able to work at your own pace to an extent. ,"My nerves and staying on task. I feel like I understand the material but I let my nerves get the best of me which impacts how I do on my exams. Furthermore, sometimes my weeks are really busy and I don't get time to work on the assignments and have to rush them. I want to space out my time better. ",NA
672,The self-pacing is nice alongside the plethora of resources. ,NA,NA
673,I like how assignments are open 2 weeks before they are due to give us an adequate amount of time to finish the work.,NA,NA
674,The ability to do the lessons at your pace and whenever you have time.,Some videos should go a bit more in depth with examples.,NA
675,I enjoy that all of the assignments are already given and there is nothing unexpected about what work I have to do.,I am concerned I will get too much senioritis. ,NA
676,The easy-to-access lesson videos and the pacing.,NA,NA
677,I enjoy learning about the challenge of college and what I have to do in order to succeed.,I am concerned about myself academically because as seen in covid and Linear Algebra I do not do well learning online.,I would just say that my effort in studying for this class should go up because I realize what I have to do now in order to get the grades I want. 
678,easy to follow format of coursework,exams,NA
679,I enjoy the distance math learning courses because it allows me to learn from my home/high school. It's helpful to learn at my own pace.,Sometimes it concerns me not having a real life teacher to ask questions during class. ,NA
680,I enjoy that I can work on this course at my own pace.,My final grade for this class.,NA
681,I love how active Piazza is.,None,NA
682,I can work anytime I want to.,none,NA
683,Dr. Mayer is a great teacher and supports his students well.,none,NA
684,I love how active Piazza is.,None,Nothing
685,The access to resources and help through piazza and canvas.,Knowing if I will have enough resources to study for the exams.,I enjoyed the availability of resources last semester in terms of practice tests and would like to see the same here.
686,I enjoy the depth of the course and the extent of the lessons.,None,Nope
687,It's versitility.,My GPA,NA
688,I enjoy and appreciate the unique math concepts and how they can apply to different sets of problems.,"I understand that this course will be challenging, but I know I can be successful due to my results from last semester.",N/A
689,math,none,none
690,I enjoy the flexibility of the course. Online classes make it easy to access content and lectures from anywhere. I can go at my own pace and the class easily fits into my schedule. ,NA,NA
691,"It’s not too much work, but it still teaches stuff.",NA,NA
692,I enjoyed the consistency of the course and clear dates. The syllabus being easily accessible is also nice. Another thing that is helpful is Piazza and the professors being responsive and contactable. The content was also enjoyable. Linear algebra was a good introduction to the topics.  ,"I am concerned about having external unexpected problems that prevent me from learning or taking the class. There was a problem last semester, but the professor was very responsive, so it all worked out. ","I am scheduled to have brain surgery at the start of April. I may not be fully recovered by the time for the final exam. I expect to be well by then , but I will keep in touch with you and email if anything changes. "
693,"The MML, textbook, and lectures give a lot of opportunities to learn the material.",NA,NA
694,I can take the class at my own planned pace.,I'm worried about falling behind when the weeks start to overlap more.,Another student and I have a conflict with the final exam for a band trip that has been scheduled since August.
695,I enjoy having the ability to move along the course at my own pace rather than having to slow down for others or having the course move too fast.,N/A,N/A
696,"I think the powerpoint video things are easy to follow, and i like that we can attend optional studio sessions.",none,none
697,"I enjoyed the content taught in the course of Linear Algebra. Linear algebra was more rigorous and able to be extended to several scenarios, which I enjoyed.",NA,NA
698,"Since this course is online, it is very flexible. ",NA,NA
699,"I like that I can do it whenever I want, so it frees up time at school to potentially work on other classes. The due dates for each homework are also a week away, compared to due the next day like at my school.",I might not be learning as well asynchronously compared to in person.,I like this class.
700,It's flexibility when it comes to time. ,NA,NA
701,"I like that this course seems to be formatted similarly to semester 1 (linear algebra). It took me awhile last semester to figure out what resources best helped me learn, such as the lecture videos vs the textbook. Since this course is similar, I should be able to follow the same routine I got into last semester.","Managing my time, though I believe last semester prepared me well.",N/A
702,"I enjoy learning new concepts I wasn't even aware about, and new applications to old problems with the new math that I am learning about.",What concerns me is straying off task because it is a digital course so it is harder to focus.,NA
703,The math.,NA,NA
704,I enjoy the flexibility of the course.,None,None
705,,,
706,I enjoy that I am able to learn on my own pace and to be able to take notes as I see fit to understand the content. I also enjoy the availability of slides to go back on. ,My most pressing concern is similar to last semester which is that I am unsure as to whether I will fall behind or have any confusing questions that will remain unanswered.,"I am able to do all of the work that I need to do, but I might struggle with certain concepts and have to do personal research to find the answers I am looking for. "
707,"I really enjoy the communication from Mr. Mayer, especially in terms of larger announcements. ",I am worried about getting overworked with my extraciricular schedule combined with GT Math.,NA
708,"Like last year, I appreciate how organized this course is in Canvas. Having all of the content and assignments broken into weeks helps me pace myself. I also like all of the different methods of communication with our professor and TAs: Piazza, Annoto, Email, etc. I appreciate all of the support we receive!",N/A,N/A
709,"So far in this course, I have enjoyed the virtual format as it allows me to create my own schedule and pacing.",None.,N/A.
710,"I like calculus, and 3 dimensional space intrigues me. ",NA,NA
711,I like how it is self-paced and I can work ahead as much as I want. I also like the way the assignments are set up.,NA,na
712,"Having the Module Tests and MMLs on the same platform seems very convenient, I like the new woman in the lecture videos.",N/A,"I am a little worried about the visual/practical applications of math and vectors, which have never been my strong suit. But I am confident that with enough work, I will be fine"
713,"I have enjoyed that even though the course is virtual, it still feels very interactive and there is a community I can rely on when I need help.",NA,NA
714,The fact that it's self-guided so I can complete the course at my own pace is definitely the thing I enjoy the most about this course,NA,NA
715,"Honestly, I really love the etextbook.",none,none
716,I enjoy the ease that Canvas presents me as a user and how easily i can access content.,I’m worried about falling behind.,NA
717,I enjoy how similar and familiar the course feels to the linear algebra course. I am glad that nothing is organized differently and hard to find.,"I worry about my ability to time manage this course well. Last semester, it was difficult for me to keep on track with the weekly content. I plan on managing my time better this semester and trying to keep on track. I do not want to get overwhelmed like last semester. I also worry about how the new grade weights for our assignments will affect us as there is another exam than last semester. I hope I can perform well for this last semester.",NA
718,I enjoy the short segmented videos. I think they have valuable information but are short enough to keep attention and segmented in a way for them to build off each other. ,None,"NA, excited for the course! "
719,I am so far enjoying the ability to be able to access slides for each module as well as the videos in case we are confused about any material.,I hope it is not too hard...!,NA
720,I think that all of the concepts are interesting and I enjoy how challenging it is.,None,None
